TI,authors
WEB 2.0 AND POLITICS: THE 2008 US PRESIDENTIAL ELECTION AND AN E-POLITICS RESEARCH AGENDA,"Sunil Wattal, David  Schuff, Munir  Mandviwalla, Christine B.  Williams"
THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE,"Anne Beaudry, Alain  Pinsonneault"
AFFECT IN WEB INTERFACES: A STUDY OF THE IMPACTS OF WEB PAGE VISUAL COMPLEXITY AND ORDER,"Liqiong Deng, Marshall Scott  Poole"
UNDERSTANDING ORGANIZATION-ENTERPRISE SYSTEM FIT: A PATH TO THEORIZING THE INFORMATION TECHNOLOGY ARTIFACT,"Diane M. Strong, Olga  Volkoff"
IMPROVING EMPLOYEES' COMPLIANCE THROUGH INFORMATION SYSTEMS SECURITY TRAINING: AN ACTION RESEARCH STUDY,"Petri Puhakainen, Mikko  Siponen"
AN ALTERNATIVE TO METHODOLOGICAL INDIVIDUALISM: A NON-REDUCTIONIST APPROACH TO STUDYING TECHNOLOGY ADOPTION BY GROUPS,"Saonee Sarker, Joseph S.  Valacich"
PRICE EFFECTS IN ONLINE PRODUCT REVIEWS: AN ANALYTICAL MODEL AND EMPIRICAL ANALYSIS,"Xinxin Li, Lorin M.  Hitt"
TOWARD ETHICAL INFORMATION SYSTEMS: THE CONTRIBUTION OF DISCOURSE ETHICS,"John Mingers, Geoff  Walsham"
"THE IMPACT OF INFORMATION TECHNOLOGY AND TRANSACTIVE MEMORY SYSTEMS ON KNOWLEDGE SHARING, APPLICATION, AND TEAM PERFORMANCE: A FIELD STUDY","Sue Young Choi, Heeseok  Lee, Youngjin  Yoo"
Safe Contexts for Interorganizational Collaborations Among Homeland Security Professionals,"Ann Majchrzak, Sirkka L.  Jarvenpaa"
Systems Development Ambidexterity: Explaining the Complementary and Substitutive Roles of Formal and Informal Controls,Amrit Tiwana
No Free Lunch: Price Premium for Privacy Seal-Bearing Vendors,"Bin Mai, Nirup M.  Menon, Sumit  Sarkar"
Donor-to-Nonprofit Online Marketplace: An Economic Analysis of the Effects on Fund-Raising,"Zafer D. Ozdemir, Kemal  Altinkemer, Prabuddha  De, Yasin  Ozcelik"
Impact of Internal Open Source Development on Reuse: Participatory Reuse in Action,"Padmal Vitharana, Julie  King, Helena Shih  Chapman"
Balancing IT with the Human Touch: Optimal Investment in IT-Based Customer Service,"Sulin Ba, Jan  Stallaert, Zhongju  Zhang"
"The ""Third Hand"": IT-Enabled Competitive Advantage in Turbulence Through Improvisational Capabilities","Paul A. Pavlou, Omar A.  El Sawy"
Changing the Competitive Landscape: Continuous Innovation Through IT-Enabled Knowledge Capabilities,"K. D. Joshi, Lei  Chi, Avimanyu  Datta, Shu  Han"
Managerial Interpretations of the Role of Information Systems in Competitive Actions and Firm Performance: A Grounded Theory Investigation,"Sandra A. Vannoy, A. F.  Salam"
Leveraging IT Capabilities and Competitive Process Capabilities for the Management of Interorganizational Relationship Portfolios,"Arun Rai, Xinlin  Tang"
"Information Technology, Network Structure, and Competitive Action","Lei Chi, T.  Ravichandran, Goce  Andrevski"
A Network Perspective of Digital Competition in Online Advertising Industries: A Simulation-Based Approach,"Ray M. Chang, Wonseok  Oh, Alain  Pinsonneault, Dowan  Kwon"
Competitive Actions and Dynamics in the Digital Age: An Empirical Investigation of Social Networking Firms,"Devi R. Gnyawali, Weiguo  Fan, James  Penner"
Competing in Crowded Markets: Multimarket Contact and the Nature of Competition in the Enterprise Systems Software Industry,"Ramnath K. Chellappa, V.  Sambamurthy, Nilesh  Saraf"
"Why Do Software Firms Fail? Capabilities, Competitive Actions, and Firm Survival in the Software Industry from 1995 to 2007","Shanling Li, Jennifer  Shang, Sandra A.  Slaughter"
Predicting Collaboration Technology Use: Integrating Technology Adoption and Collaboration Research,"Susan A. Brown, Alan R.  Dennis, Viswanath  Venkatesh"
Are Consumers More Likely to Contribute Online Reviews for Hit or Niche Products?,"Chrysanthos Dellarocas, Guodong (Gordon)  Gao, Ritu  Narayan"
Empirical Analysis of the Impact of Recommender Systems on Sales,"Bhavik Pathak, Robert  Garfinkel, Ram D.  Gopal, Rajkumar  Venkatesan, Fang  Yin"
Net Neutrality and Vertical Integration of Content and Broadband Services,"Hong Guo, Subhajyoti  Bandyopadhyay, Hsing Kenneth  Cheng, Yu-Chen  Yang"
"Information Technology Diffusion with Influentials, Imitators, and Opponents","Hasan Cavusoglu, Nan  Hu, Yingjiu  Li, Dan  Ma"
DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY,"Ahmed Abbasi, Zhu  Zhang, David  Zimbra, Hsinchun  Chen, Jr.  Jay F.  Nunamaker"
CIRCUITS OF POWER: A STUDY OF MANDATED COMPLIANCE TO AN INFORMATION SYSTEMS SECURITY DE JURE STANDARD IN A GOVERNMENT ORGANIZATION,"Stephen Smith, Donald  Winchester, Deborah  Bunker, Rodger  Jamieson"
NEUTRALIZATION: NEW INSIGHTS INTO THE PROBLEM OF EMPLOYEE INFORMATION SYSTEMS SECURITY POLICY VIOLATIONS,"Mikko Siponen, Anthony  Vance"
USER PARTICIPATION IN INFORMATION SYSTEMS SECURITY RISK MANAGEMENT,"Janine L. Spears, Henri  Barki"
INFORMATION SECURITY POLICY COMPLIANCE: AN EMPIRICAL STUDY OF RATIONALITY-BASED BELIEFS AND INFORMATION SECURITY AWARENESS,"Burcu Bulgurcu, Hasan  Cavusoglu, Izak  Benbasat"
FEAR APPEALS AND INFORMATION SECURITY BEHAVIORS: AN EMPIRICAL STUDY,"Allen C. Johnston, Merrill  Warkentin"
MARKET VALUE OF VOLUNTARY DISCLOSURES CONCERNING INFORMATION SECURITY,"Lawrence A. Gordon, Martin P.  Loeb, Tashfeen  Sohail"
THE IMPACT OF MALICIOUS AGENTS ON THE ENTERPRISE SOFTWARE INDUSTRY,"Michael R. Galbreth, Mikhael  Shor"
PRACTICING SAFE COMPUTING: A MULTIMETHOD EMPIRICAL EXAMINATION OF HOME COMPUTER USER SECURITY BEHAVIORAL INTENTIONS,"Catherine L. Anderson, Ritu  Agarwal"
"Information Transparency in Business-to-Consumer Markets: Concepts, Framework, and Research Agenda","Nelson Granados, Alok  Gupta, Robert J.  Kauffman"
Resource Allocation Policies for Personalization in Content Delivery Sites,"Dengpan Liu, Sumit  Sarkar, Chelliah  Sriskandarajah"
"Technological Frames, Organizational Capabilities, and IT Use: An Empirical Investigation of Electronic Procurement","Abhay Nath Mishra, Ritu  Agarwal"
"Diffusion Models for Peer-to-Peer (P2P) Media Distribution: On the Impact of Decentralized, Constrained Supply","Kartik Hosanagar, Peng  Han, Yong  Tan"
Complementarities Between Organizational IT Architecture and Governance Structure,"Amrit Tiwana, Benn  Konsynski"
Assessing Screening and Evaluation Decision Support Systems: A Resource-Matching Approach,"Chuan-Hoo Tan, Hock-Hai  Teo, Izak  Benbasat"
Visualization of Network Concepts: The Impact of Working Memory Capacity Differences,"Bin Zhu, Stephanie A.  Watts"
Predicting Web Page Status,"Gautam Pant, Padmini  Srinivasan"
Toward a Causal Interpretation from Observational Data: A New Bayesian Networks Method for Structural Models with Latent Variables,"Zhiqiang (Eric) Zheng, Paul A.  Pavlou"
Does Technological Progress Alter the Nature of Information Technology as a Production Input? New Evidence and New Results,"Paul Chwelos, Ronald  Ramirez, Kenneth L.  Kraemer, Nigel P.  Melville"
Follow the Sun Workflow in Global Software Development,"Erran Carmel, J. Alberto  Espinosa, Yael  Dubinsky"
Perpetual Versus Subscription Licensing Under Quality Uncertainty and Network Externality Effects,"Jie (Jennifer) Zhang, Abraham  Seidmann"
The Power of Patterns and Pattern Recognition When Developing Information-Based Strategy,Eric K. Clemons
Models of Collaboration as the Foundation for Collaboration Technologies,"Steven Poltrock, Mark  Handel"
Bounded Ideation Theory,"Robert O. Briggs, Bruce A.  Reinig"
Network Externalities and Technology Use: A Quantitative Analysis of Intraorganizational Blogs,"Sunil Wattal, Pradeep  Racherla, Munir  Mandviwalla"
Technology Dominance in Complex Decision Making: The Case of Aided Credibility Assessment,"Matthew L. Jensen, Paul Benjamin  Lowry, Judee K.  Burgoon, Jr.  Jay F.  Nunamaker"
"Team Size, Dispersion, and Social Loafing in Technology-Supported Teams: A Perspective on the Theory of Moral Disengagement","Omar A. Alnuaimi, Jr.  Lionel P.  Robert, Likoebe M.  Maruping"
Antecedents and Effects of CIO Supply-Side and Demand-Side Leadership: A Staged Maturity Model,"Daniel Q. Chen, David S.  Preston, Weidong  Xia"
The Influence of Experiential and Dispositional Factors in Phishing: An Empirical Investigation of the Deceived,"Ryan T. Wright, Kent  Marett"
COMPUTING IN EVERYDAY LIFE: A CALL FOR RESEARCH ON EXPERIENTIAL COMPUTING,Youngjin Yoo
"INFORMATION SYSTEMS STRATEGY: RECONCEPTUALIZATION, MEASUREMENT, AND IMPLICATIONS","Daniel Q. Chen, Martin  Mocker, David S.  Preston, Alexander  Teubner"
BRAND POSITIONING STRATEGY USING SEARCH ENGINE MARKETING,"Wenyu Dou, Kai H.  Lim, Chenting  Su, Nan  Zhou, Nan  Cui"
EXPECTATION DISCONFIRMATION AND TECHNOLOGY ADOPTION: POLYNOMIAL MODELING AND RESPONSE SURFACE ANALYSIS,"Viswanath Venkatesh, Sandeep  Goyal"
A MULTI-PROJECT MODEL OF KEY FACTORS AFFECTING ORGANIZATIONAL BENEFITS FROM ENTERPRISE SYSTEMS,"Peter B. Seddon, Cheryl  Calvert, Song  Yang"
INFORMATION ABOUT INFORMATION: A TAXONOMY OF VIEWS,"Jr.  Earl H. McKinney, II  Charles J.  Yoos"
INVESTIGATING Two CONTRADICTORY VIEWS OF FORMATIVE MEASUREMENT IN INFORMATION SYSTEMS RESEARCH,"Gimun Kim, Bongsik  Shin, Varun  Grover"
INTRODUCTION TO THE SPECIAL ISSUE ON NOVEL PERSPECTIVES ON TRUST IN INFORMATION SYSTEMS,"Izak Benbasat, David  Gefen, Paul A.  Pavlou"
WHAT DOES THE BRAIN TELL US ABOUT TRUST AND DISTRUST? EVIDENCE FROM A FUNCTIONAL NEUROIMAGING STUDY,Angelika Dimoka
ARE THERE NEURAL GENDER DIFFERENCES IN ONLINE TRUST? AN FMRI STUDY ON THE PERCEIVED TRUSTWORTHINESS OF EBAY OFFERS,"Rene Riedl, Marco  Hubert, Peter  Kenning"
IT Careers Camp: An Early Intervention Strategy to Increase IS Enrollments,"Vivek Choudhury, Alexandre B.  Lopes, Doug  Arthur"
On Evaluating Information Revelation Policies in Procurement Auctions: A Markov Decision Process Approach,"Amy Greenwald, Karthik  Kannan, Ramayya  Krishnan"
Contractual Provisions to Mitigate Holdup: Evidence from Information Technology Outsourcing,"Anjana Susarla, Ramanath  Subramanyam, Prasanna  Karhade"
Is Query Reuse Potentially Harmful? Anchoring and Adjustment in Adapting Existing Database Queries,"Gove Allen, Jeffrey  Parsons"
Use of Pricing Schemes for Differentiating Information Goods,Vidyanand Choudhary
Design and Analysis of Contracts for Software Outsourcing,"Debabrata Dey, Ming  Fan, Conglei  Zhang"
An Empirical Analysis of Software Vendors' Patch Release Behavior: Impact of Vulnerability Disclosure,"Ashish Arora, Ramayya  Krishnan, Rahul  Telang, Yubao  Yang"
Ex Ante Information and the Design of Keyword Auctions,"De Liu, Jianqing  Chen, Andrew B.  Whinston"
"Electronic Markets, Search Costs, and Firm Boundaries","Ramesh Sankaranarayanan, Arun  Sundararajan"
Induction over Strategic Agents,"Fidan Boylu, Haldun  Aytug, Gary J.  Koehler"
Quality Uncertainty and the Performance of Online Sponsored Search Markets: An Empirical Investigation,"Animesh Animesh, Vandana  Ramachandran, Siva  Viswanathan"
An Interdisciplinary Perspective on IT Services Management and Service Science,"Indranil R. Bardhan, Haluk  Demirkan, P. K.  Kannan, Robert J.  Kauffman, Ryan  Sougstad"
Connecting IT Services Operations to Services Marketing Practices,"Mitzi M. Montoya, Anne P.  Massey, Vijay  Khatri"
"Multitask Agency, Modular Architecture, and Task Disaggregation in SaaS","Anjana Susarla, Anitesh  Barua, Andrew B.  Whinston"
Coordination Strategies in an SaaS Supply Chain,"Haluk Demirkan, Hsing Kenneth  Cheng, Subhajyoti  Bandyopadhyay"
Understanding the Economic Potential of Service-Oriented Architecture,"Benjamin Mueller, Goetz  Viering, Christine  Legner, Gerold  Riempp"
Managers' Judgments of Performance in IT Services Outsourcing,"Vandana Ramachandran, Anandasivam  Gopal"
"A Service Science Perspective on Strategic Choice, IT, and Performance in US Banking",Paul P. Tallon
Implementing Service-Oriented Architecture in Organizations,"Jae Choi, Derek L.  Nazareth, Hemant K.  Jain"
Demand Information Sharing in Heterogeneous IT Services Environments,"Sagnika Sen, T. S.  Raghu, Ajay  Vinze"
Should We Go Our Own Way? Backsourcing Flexibility in IT Services Contracts,"Michel Benaroch, Qizhi  Dai, Robert J.  Kauffman"
INFORMATION SYSTEMS INNOVATION FOR ENVIRONMENTAL SUSTAINABILITY,Nigel P. Melville
INFORMATION SYSTEMS AND ENVIRONMENTALLY SUSTAINABLE DEVELOPMENT: ENERGY INFORMATICS AND NEW DIRECTIONS FOR THE IS COMMUNITY,"Richard T. Watson, Marie-Claude  Boudreau, Adela J.  Chen"
AN EMPIRICAL ANALYSIS OF THE IMPACT OF INFORMATION CAPABILITIES DESIGN ON BUSINESS PROCESS OUTSOURCING PERFORMANCE,"Deepa Mani, Anitesh  Barua, Andrew  Whinston"
CHASING THE HOTTEST IT: EFFECTS OF INFORMATION TECHNOLOGY FASHION ON ORGANIZATIONS,Ping Wang
TOWARD AGILE: AN INTEGRATED ANALYSIS OF QUANTITATIVE AND QUALITATIVE FIELD DATA ON SOFTWARE DEVELOPMENT AGILITY,"Gwanhoo Lee, Weidong  Xia"
VITAL SIGNS FOR VIRTUAL TEAMS: AN EMPIRICALLY DEVELOPED TRIGGER MODEL FOR TECHNOLOGY ADAPTATION INTERVENTIONS,"Dominic M. Thomas, Robert P.  Bostrom"
JOB CHARACTERISTICS AND JOB SATISFACTION: UNDERSTANDING THE ROLE OF ENTERPRISE RESOURCE PLANNING SYSTEM IMPLEMENTATION,"Michael G. Morris, Viswanath  Venkatesh"
THE FORMATION AND VALUE OF IT-ENABLED RESOURCES: ANTECEDENTS AND CONSEQUENCES OF SYNERGISTIC RELATIONSHIPS,"Saggi Nevo, Michael R.  Wade"
WHAT MAKES A HELPFUL ONLINE REVIEW? A STUDY OF CUSTOMER REVIEWS ON AMAZON.COM,"Susan M. Mudambi, David  Schuff"
"AMBIENT AWARENESS AND KNOWLEDGE ACQUISITION: USING SOCIAL MEDIA TO LEARN ""WHO KNOWS WHAT"" AND ""WHO KNOWS WHOM""",Paul M. Leonardi
WORK HARDER OR WORK SMARTER? INFORMATION TECHNOLOGY AND RESOURCE ALLOCATION IN HEALTHCARE PROCESSES,"Adrian Yeow, Kim Huat  Goh"
"SOFTWARE PROCESS DIVERSITY: CONCEPTUALIZATION, MEASUREMENT, AND ANALYSIS OF IMPACT ON PROJECT PERFORMANCE","Narayan Ramasubbu, Anandhi  Bharadwaj, Giri Kumar  Tayi"
INFORMATION TECHNOLOGY IMPACTS ON FIRM PERFORMANCE: AN EXTENSION OF KOHLI AND DEVARAJ (2003),"Rajiv Sabherwal, Anand  Jeyaraj"
WHAT DO SYSTEMS USERS HAVE TO FEAR? USING FEAR APPEALS TO ENGENDER THREATS AND FEAR THAT MOTIVATE PROTECTIVE SECURITY BEHAVIORS,"Scott R. Boss, Dennis F.  Galletta, Paul Benjamin  Lowry, Gregory D.  Moody, Peter  Polak"
FIT AND MISFIT OF PLURAL SOURCING STRATEGIES AND IT-ENABLED PROCESS INTEGRATION CAPABILITIES: CONSEQUENCES OF FIRM PERFORMANCE IN THE US ELECTRIC UTILITY INDUSTRY,"Arun Rai, Ilgaz  Arikan, Jessica  Pye, Amrit  Tiwana"
STRIKE A HAPPY MEDIUM: THE EFFECT OF IT KNOWLEDGE ON VENTURE CAPITALISTS' OVERCONFIDENCE IN IT INVESTMENTS,"Harpreet Singh, Rohit  Aggarwal, Irina  Cojuharenco"
CAMPUS EMERGENCY NOTIFICATION SYSTEMS: AN EXAMINATION OF FACTORS AFFECTING COMPLIANCE WITH ALERTS,"Wencui Han, Serkan  Ada, Raj  Sharman, H. Raghav  Rao"
"ME, MY SELF, AND I(T): CONCEPTUALIZING INFORMATION TECHNOLOGY IDENTITY AND ITS IMPLICATIONS","Michelle Carter, Varun  Grover"
CULTURAL SENSEMAKING IN OFFSHORE INFORMATION TECHNOLOGY SERVICE SUPPLIERS: A CULTURAL FRAME PERSPECTIVE,Ning Su
"Informing Privacy Research Through Information Systems, Psychology, and Behavioral Economics: Thinking Outside the ""APCO"" Box","Tamara Dinev, Allen R.  McConnell, H. Jeff  Smith"
Discriminating IT Governance,"Amrit Tiwana, Stephen K.  Kim"
Embarrassing Exposures in Online Social Networks: An Integrated Perspective of Privacy Invasion and Relationship Bonding,"Ben C. F. Choi, Zhenhui (Jack)  Jiang, Bo  Xiao, Sung S.  Kim"
Do Organic Results Help or Hurt Sponsored Search Performance?,"Ashish Agarwal, Kartik  Hosanagar, Michael D.  Smith"
Design of Consumer Review Systems and Product Pricing,"Yabing Jiang, Hong  Guo"
Versioning in the Software Industry: Heterogeneous Disutility from Underprovisioning of Functionality,"Shivendu Shivendu, Zhe (James)  Zhang"
Can Payment-per-Click Induce Improvements in Click Fraud Identification Technologies?,"Min Chen, Varghese S.  Jacob, Suresh  Radhakrishnan, Young U.  Ryu"
What Motivates Contributors vs. Lurkers? An Investigation of Online Feedback Forums,"Chee Wei Phang, Atreyi  Kankanhalli, Bernard C. Y.  Tan"
Designing Warning Messages for Detecting Biased Online Product Recommendations: An Empirical Investigation,"Bo Xiao, Izak  Benbasat"
"Tigerblood: Newspapers, Blogs, and the Founding of Information Technology Firms","Brad N. Greenwood, Anand  Gopal"
Parenting New Acquisitions: Acquirers' Digital Resource Redeployment and Targets' Performance Improvement in the US Hospital Industry,Kui Du
Patching the Cloud: The Impact of SaaS on Patching Strategy and the Timing of Software Release,"Vidyanand Choudhary, Zhe (James)  Zhang"
Can't Buy Me Love ... Or Can I? Social Capital Attainment Through Conspicuous Consumption in Virtual Environments,"Oliver Hinz, Martin  Spann, Il-Horn  Hann"
FAIRNESS IN THE INSTITUTIONAL VALUATION OF BUSINESS JOURNALS,"Gary F. Templeton, Bruce R.  Lewis"
GENRES OF INQUIRY IN DESIGN-SCIENCE RESEARCH: JUSTIFICATION AND EVALUATION OF KNOWLEDGE PRODUCTION,"Richard L. Baskerville, Mala  Kaul, Veda C.  Storey"
VOCAL MINORITY AND SILENT MAJORITY: HOW DO ONLINE RATINGS REFLECT POPULATION PERCEPTIONS OF QUALITY,"Guodong (Gordon) Gao, Brad N.  Greenwood, Ritu  Agarwal, Jeffrey S.  McCullough"
JAMMING WITH SOCIAL MEDIA: HOW COGNITIVE STRUCTURING OF ORGANIZING VISION FACETS AFFECTS IT INNOVATION DIFFUSION,"Shaila M. Miranda, Inchan  Kim, Jama D.  Summers"
"INFORMATION TECHNOLOGY USE AS A LEARNING MECHANISM: THE IMPACT OF IT USE ON KNOWLEDGE TRANSFER EFFECTIVENESS, ABSORPTIVE CAPACITY, AND FRANCHISEE PERFORMANCE","Kishen Iyengar, Jeffrey R.  Sweeney, Ramiro  Montealegre"
ORGANIZATIONAL PATH CONSTITUTION IN TECHNOLOGICAL INNOVATION: EVIDENCE FROM RURAL TELEHEALTH,"Rajendra Singh, Lars  Mathiassen, Abhay  Mishra"
COMPARING POTENTIAL AND ACTUAL INNOVATORS: AN EMPIRICAL STUDY OF MOBILE DATA SERVICES INNOVATION,"Atreyi Kankanhalli, Hua (Jonathan)  Ye, Hock Hai Teo"
COMPETING FOR ATTENTION: AN EMPIRICAL STUDY OF ONLINE REVIEWERS' STRATEGIC BEHAVIOR,"Wenqi Shen, Yu Jeffrey  Hu, Jackie Rees  Ulmer"
EXTENDING ICT4D STUDIES: THE VALUE OF CRITICAL RESEARCH,"Cecilia I. C. Lin, Feng-Yang  Kuo, Michael D.  Myers"
EXHAUSTION FROM INFORMATION SYSTEM CAREER EXPERIENCE: IMPLICATIONS FOR TURN-AWAY INTENTION,"Deborah J. Armstrong, Nita G.  Brooks, Cynthia K.  Riemenschneider"
"FRIENDSHIPS IN ONLINE PEER-TO-PEER LENDING: PIPES, PRISMS, AND RELATIONAL HERDING","De Liu, Daniel J.  Brass, Yong  Lu, Dongyu  Chen"
Network Dynamics: How Can We Find Patients Like Us?,"Lu (Lucy) Yan, Jianping  Peng, Yong  Tan"
IT-Enabled Broadcasting in Social Media: An Empirical Study of Artists' Activities and Music Sales,"Hailiang Chen, Prabuddha  De, Yu Jeffrey  Hu"
Recommendations Using Information from Multiple Association Rules: A Probabilistic Approach,"Abhijeet Ghoshal, Syam  Menon, Sumit  Sarkar"
Contemporaneous and Delayed Sales Impact of Location-Based Mobile Promotions,"Zheng Fang, Bin  Gu, Xueming  Luo, Yunjie  Xu"
Information Disclosure and the Diffusion of Information Security Attacks,"Sabyasachi Mitra, Sam  Ransbotham"
Why Following Friends Can Hurt You: An Exploratory Investigation of the Effects of Envy on Social Networking Sites among College-Age Users,"Hanna Krasnova, Thomas  Widjaja, Peter  Buxmann, Helena  Wenninger, Izak  Benbasat"
Migration of Service to the Internet: Evidence from a Federal Natural Experiment,"Kai-Lung Hui, I. P. L.  Png"
An Exploration of Risk Characteristics of Information Security Threats and Related Public Information Search Behavior,"Jingguo Wang, Nan  Xiao, H. Raghav  Rao"
NEW STATE OF PLAY IN INFORMATION SYSTEMS RESEARCH: THE PUSH TO THE EDGES,"Varun Grover, Kalle  Lyytinen"
CONSISTENT PARTIAL LEAST SQUARES PATH MODELING,"Theo K. Dijkstra, Jorg  Henseler"
"DISASTER EXPERIENCE AND HOSPITAL INFORMATION SYSTEMS: AN EXAMINATION OF PERCEIVED INFORMATION ASSURANCE, RISK, RESILIENCE, AND HIS USEFULNESS","Insu Park, Raj  Sharman, H. Raghav  Rao"
INCREASING ACCOUNTABILITY THROUGH USER-INTERFACE DESIGN ARTIFACTS: A NEW APPROACH TO ADDRESSING THE PROBLEM OF ACCESS-POLICY VIOLATIONS,"Anthony Vance, Paul Benjamin  Lowry, Dennis  Eggett"
"COPING WITH INFORMATION TECHNOLOGY: MIXED EMOTIONS, VACILLATION, AND NONCONFORMING USE PATTERNS","Mari-Klara Stein, Sue  Newell, Erica L.  Wagner, Robert D.  Galliers"
LEADING COLLABORATION IN ONLINE COMMUNITIES,"Samer Faraj, Srinivas  Kudaravalli, Molly  Wasko"
PATTERNS IN INFORMATION SYSTEMS PORTFOLIO PRIORITIZATION: EVIDENCE FROM DECISION TREE INDUCTION,"Prasanna Karhade, Michael J.  Shaw, Ramanath  Subramanyam"
MOBILE APPLICATION USABILITY: CONCEPTUALIZATION AND INSTRUMENT DEVELOPMENT,"Hartmut Hoehle, Viswanath  Venkatesh"
SUPPORT STRUCTURES AND THEIR IMPACTS ON EMPLOYEE OUTCOMES: A LONGITUDINAL FIELD STUDY OF AN ENTERPRISE SYSTEM IMPLEMENTATION,Tracy Ann Sykes
HOW INFORMATION TECHNOLOGY GOVERNANCE MECHANISMS AND STRATEGIC ALIGNMENT INFLUENCE ORGANIZATIONAL PERFORMANCE: INSIGHTS FROM A MATCHED SURVEY OF BUSINESS AND IT MANAGERS,"Shelly Ping-Ju Wu, Detmar W.  Straub, Ting-Peng  Liang"
Finding Similar Mobile Consumers with a Privacy-Friendly Geosocial Design,"Foster Provost, David  Martens, Alan  Murray"
Evolutionary Competition in Platform Ecosystems,Amrit Tiwana
The Role of Extra-Role Behaviors and Social Controls in Information Security Policy Effectiveness,"Jack Shih-Chieh Hsu, Sheng-Pao  Shih, Yu Wen  Hung, Paul Benjamin  Lowry"
Cable News Wars on the Internet: Competition and User-Generated Content,"Gaurav Sabnis, Rajdeep  Grewal"
"Net Neutrality, Exclusivity Contracts, and Internet Fragmentation","Frago Kourandi, Jan  Kraemer, Tommaso  Valletti"
Learning User Real-Time Intent for Optimal Dynamic Web Page Transformation,"Amy Wenxuan Ding, Shibo  Li, Patrali  Chatterjee"
Analyzing Software as a Service with Per-Transaction Charges,"Dan Ma, Abraham  Seidmann"
Social Capital and Contract Duration in Buyer-Supplier Networks for Information Technology Outsourcing,"Kiron Ravindran, Anjana  Susarla, Deepa  Mani, Vijay  Gurbaxani"
How Does IT Ambidexterity Impact Organizational Agility?,"One-Ki (Daniel) Lee, Vallabh  Sambamurthy, Kai H.  Lim, Kwok Kee  Wei"
The Road to Early Success: Impact of System Use in the Swift Response Phase,"Yu Tong, Sharon Swee-Lin  Tan, Hock-Hai  Teo"
Deliberation Without Attention: The Latent Benefits of Distracting Website Features for Online Purchase Decisions,"Barney Tan, Cheng  Yi, Hock C.  Chan"
Investigating Firm Strategies on Offering Consumer-Customizable Products,"Zheyin (Jane) Gu, Giri K.  Tayi"
The Role of Self-Control in Information Security Violations: Insights from a Cognitive Neuroscience Perspective,"Qing Hu, Robert  West, Laura  Smarandescu"
The Behavioral Roots of Information Systems Security: Exploring Key Factors Related to Unethical IT Use,"Sutirtha Chatterjee, Suprateek  Sarker, Joseph S.  Valacich"
Chasing Lemmings: Modeling IT-Induced Misperceptions About the Strategic Situation as a Reason for Flash Crashes,"Tobias Brandt, Dirk  Neumann"
Enhancing Predictive Analytics for Anti-Phishing by Exploiting Website Genre Information,"Ahmed Abbasi, Fatemeh Mariam  Zahedi, Daniel  Zeng, Yan  Chen, Hsinchun  Chen, Jr.  Jay F.  Nunamaker"
Exploring Knowledge Filtering Processes in Electronic Networks of Practice,"Kelly J. Fadel, Thomas O.  Meservy, Matthew L.  Jensen"
Bundling Effects on Variety Seeking for Digital Information Goods,"Gediminas Adomavicius, Jesse  Bockstedt, Shawn P.  Curley"
Enticing and Engaging Consumers via Online Product Presentations: The Effects of Restricted Interaction Design,"Cheng Yi, Zhenhui (Jack)  Jiang, Izak  Benbasat"
Impact of Recommender System on Competition Between Personalizing and Non-Personalizing Firms,"Abhijeet Ghoshal, Subodha  Kumar, Vijay  Mookerjee"
Are You Feeling Lonely? The Impact of Relationship Characteristics and Online Social Network Features on Loneliness,"Sabine Matook, Jeff  Cummings, Hillol  Bala"
Understanding the Influence of Instant Messaging on Ending Concessions During Negotiations,"Norman A. Johnson, Randolph B.  Cooper"
"Health Information Exchange as a Multisided Platform: Adoption, Usage, and Practice Involvement in Service Co-Production","Niam Yaraghi, Anna Ye  Du, Raj  Sharman, Ram D.  Gopal, Ram  Ramesh"
Predictive Analytics for Readmission of Patients with Congestive Heart Failure,"Indranil Bardhan, Jeong-ha (Cath)  Oh, Zhiqiang (Eric)  Zheng, Kirk  Kirksey"
Information Infrastructure Development and Governance as Collective Action,"Panos Constantinides, Michael  Barrett"
Paradoxes and the Nature of Ambidexterity in IT Transformation Programs,"Robert Wayne Gregory, Mark  Keil, Jan  Muntermann, Magnus  Mahring"
"Organizational Control, Incentive Contracts, and Knowledge Transfer in Offshore Business Process Outsourcing","Ying Liu, Ravi  Aron"
Market Positioning by IT Service Vendors Through Imitation,"Karen Ruckman, Nilesh  Saraf, Vallabh  Sambamurthy"
Early to Adopt and Early to Discontinue: The Impact of Self-Perceived and Actual IT Knowledge on Technology Use Behaviors of End Users,"Rohit Aggarwal, David  Kryscynski, Vishal  Midha, Harpreet  Singh"
Turnover or Turnaway? Competing Risks Analysis of Male and Female IT Professionals' Job Mobility and Relative Pay Gap,"Damien Joseph, Soon  Ang, Sandra A.  Slaughter"
The Emergence of Online Community Leadership,"Steven L. Johnson, Hani  Safadi, Samer  Faraj"
Web Footprints of Firms: Using Online Isomorphism for Competitor Identification,"Gautam Pant, Olivia R. L.  Sheng"
