,TI,AB,AF,PY,VL,IS,DE,BP-EP,SO
105,An Attraction-Selection-Attrition Theory of Online Community Size and Resilience,"Online discussion communities play an important role in the development of relationships and the transfer of knowledge within and across organizations.  Their underlying technologies enhance these processes by providing infrastructures through which group-based communication can occur.  Community administrators often make decisions about technologies with the goal of enhancing the user experience, but the impact of such decisions on how a community develops must also be considered.  To shed light on this complex and under-researched phenomenon, we offer a model of key latent constructs influenced by technology choices and possible causal paths by which they have dynamic effects on communities.  Two important community characteristics that can be impacted are community size (number of members) and community resilience (membership that is willing to remain involved with the community in spite of variability and change in the topics discussed).  To model community development, we build on attraction–selection–attrition (ASA) theory, introducing two new concepts:  participation costs (how much time and effort are required to engage with content provided in a community) and topic consistency cues (how strongly a community signals that topics that may appear in the future will be consistent with what it has hosted in the past).  We use the proposed ASA theory of online communities (OCASA) to develop a simulation model of community size and resilience that affirms some conventional wisdom and also has novel and counterintuitive implications.  Analysis of the model leads to testable new propositions about the causal paths by which technology choices affect the emergence of community size and community resilience, and associated implications for community sustainability.1-22-14","Brian S. Butler, Patrick J. Bateman, Peter H. Gray, E. Ilana Diamant",2014,38,3,"Online communities, social media, benefits, costs, emergent systems, simulation",699-728,MIS Quarterly
106,An Economic Analysis of Online Advertising Using Behavioral Targeting,"Online publishers and advertisers have recently shown increasing interest in using targeted advertising online. Such targeting allows them to present users with advertisements that are a better match, based on their past browsing and search behavior and other available information (e.g., hobbies registered on a web site).  This technique, known as behavioral targeting, has been hailed as the new “Holy Grail” in online advertising because of its potential effectiveness.  In this paper, we study the economic implications when an online publisher engages in behavioral targeting.  The publisher auctions off an advertising slot and is paid on a cost-per-click basis.  Using a horizontal differentiation model to capture the fit between a user and an advertisement being displayed, we identify the factors that affect the publisher’s revenue, the advertisers’ payoffs, and social welfare.  We show that revenue for the online publisher in some circumstances can double when behavioral targeting is used.  However, increased revenue for the publisher is not guaranteed:  in some cases, the prices of advertising and hence the publisher’s revenue can be lower, depending on the degree of competition and the advertisers’ valuations.  We identify two effects associated with behavioral targeting:  a competitive effect and a propensity effect.  The relative strength of the two effects determines whether the publisher’s revenue is positively or negatively affected.  We also demonstrate that, although social welfare is increased and small advertisers are better off under behavioral targeting, the dominant advertiser might be worse off and reluctant to switch from traditional advertising.8/16/13","Jianqing Chen, Jan Stallaert",2014,38,2,"Behavioral targeting, targeted advertising, online advertising, pricing, competition, auctions, analytical modeling, economic modeling",429-449,MIS Quarterly
107,An Economic Analysis of Strategic Information Technology Investments,"The information systems literature is replete with conceptual frameworks for analyzing strategic applications of information technology (IT).  In this article, the strategic impacts of IT investment are studied through the development of a formal economic model.  In particular, it focuses on IT-related quality competition in a duopoly, where the services may not be priced initially (e.g., in the financial services sector), and where the benefits may come indirectly (e.g., in the form of interest earned on consumer deposits or float on checking accounts).  A firm may have to invest in IT, regardless of its underlying cost structure, as a response to its competitor’s investment level.  (We analyze the division of technology benefits between the firms and the consumers and study welfare implications for simultaneous and sequential investments.)  Both firms prefer sequential over simultaneous investments, even when both have the required technology.  While the IT-inefficient firm (one with higher IT cost for a given service quality) has followership incentives, the leadership incentives for the IT-efficient firm depend on the difference in IT cost structures and the degree of substitutability between the services of the two firms.  A preliminary treatment of pricing issues is provided in conjunction with consumer switching cost, which not only has a negative impact on consumer welfare but may also reduce total industry profits.  For dynamic markets with new consumers, the negative effect of switching cost on th welfare of existing consumers is reduced when the IT-efficient firm moves first.","Anitesh Barua, Charles H. Kriebel, Tridas Mukhopadhyay",1991,15,3,"Strategy, quality competition, duopoly, leadership incentives, switching cost, investment decision",313-331,MIS Quarterly
108,An Empirical Analysis of Intellectual Property Rights Sharing in Software Development Outsourcing,"Software development outsourcing (SDO) contracts are plagued with ex post opportunism and underinvestment problems.  Property rights theory (PRT) argues that appropriate property rights allocation between vendors and clients can reduce opportunism and incentivize relation-specific investments.  We conduct an in-depth content analysis of 171 real SDO contracts and empirically examine how project attributes and contract parties’ bargaining power affect the allocation of intellectual property rights (IPR).  We find that clients retained more IPR when software development was modularized whereas they shared more IPR with vendors in contracts that incorporated greater use of a vendor’s proprietary software.  Greater levels of task complexity were associated with more IPR sharing with vendors.  We also find that the responsiveness of IPR to project attributes varied across the different types of intellectual assets.  For example, vendors were more likely to obtain redeployment rights of know-how if they were contracted for novel software development projects.  However, clients were less likely to cede ownership of data and confidential information embedded in software customization projects.  We control for a variety of firm and transaction characteristics and the results we obtain here are robust to concerns of endogeneity bias.6/27/16","Yuanyuan Chen, Anandhi Bharadwaj, Khim-Yong Goh",2017,41,01,"Software development, outsourcing, contract design, intellectual property rights allocation, property rights theory, incomplete contracts",131-161,MIS Quarterly
109,An Empirical Analysis of the Impact of Information Capabilities Design on Business Process Outsourcing Performance,"Organizations today outsource diverse business processes to achieve a wide variety of business objectives ranging from reduction of costs to innovation and business transformation.  We build on the information processing view of the firm to theorize that performance heterogeneity across business process outsourcing (BPO) exchanges is a function of the design of information capabilities (IC) that fit the unique information requirements (IR) of the exchange.  Further, we compare performance effects of the fit between IR and IC across dominant categories of BPO relationships to provide insights into the relative benefits of enacting such fit between the constructs.  Empirical tests of our hypotheses using survey data on 127 active BPO relationships find a significant increase (decrease) in satisfaction as a result of the fit (misfit) between IR and IC of the relationship.  The results have implications for how BPO relationships must be designed and managed to realize significant performance gains.  The study also extends the IPV to identify IC that provide the incentives and means to process information in an interfirm relationship.","Deepa Mani, Anitesh Barua, Andrew Whinston",2010,34,1,"Business process outsourcing, governance, performance, information requirements, information capabilities, information processing view",39-62,MIS Quarterly
110,An Empirical Analysis of the Value of Complete Information for eCRM Models,"Due to the vast amount of user data tracked online, the use of data-based analytical methods is becoming increasingly common for e-businesses.  Recently the term analytical eCRM has been used to refer to the use of such methods in the online world.  A characteristic of most of the current approaches in eCRM is that they use data collected about users’ activities at a single site only and, as we argue in this paper, this can present an incomplete picture of user activity.  However, it is possible to obtain a complete picture of user activity from across-site data on users.  Such data is expensive, but can be obtained by firms directly from their users or from market data vendors.  A critical question is whether such data is worth obtaining, an issue that little prior research has addressed.  In this paper, using a data mining approach, we present an empirical analysis of the modeling benefits that can be obtained by having complete information.  Our results suggest that the magnitudes of gains that can be obtained from complete data range from a few percentage points to 50 percent, depending on the problem for which it is used and the performance metrics considered.  Qualitatively we find that variables related to customer loyalty and browsing intensity are particularly important and these variables are difficult to derive from data collected at a single site.  More importantly, we find that a firm has to collect a reasonably large amount of complete data before any benefits can be reaped and caution against acquiring too little data.","Balaji Padmanabhan, Zhiqiang Zheng, Steven O. Kimbrough",2006,30,2," Data mining, incomplete data, information value, eCRM",247-267,MIS Quarterly
111,An Empirical Assessment of the Stages of DP Growth,"This study attempts to validate the stages of growth hypothesis by analyzing data concerning the benchmarks that were prescribed by Nolan [15]. Although the hypothesis was not validated using the entire set of benchmarks for each stage, individual benchmarks were related to various DP management issues. The joint relationship of user awareness and technology to various management issues was also assessed. In addition, the planning and control techniques that have been used in the stages of growth literature were factor analyzed. The factor groupings were compared with those groupings that the stages of growth idea associate respectively with early and late states of DP evolution.",D.H. Drury,1983,7,2,"information systems, management, life cycle, systems development, planning and control, benchmarks",59-70,MIS Quarterly
112,An Empirical Examination of Individual Traits as Antecedents to Computer Anxiety and Computer Self-Efficacy,"To better understand how individual differences influence the use of information technology (IT), this study models and tests relationships among dynamic, IT-specific individual differences (i.e., computer self-efficacy and computer anxiety), stable, situation-specific traits (i.e., personal innovativeness in IT) and stable, broad traits (i.e., trait anxiety and negative affectivity). When compared to broad traits, the model suggests that situation-specific traits exert a more pervasive influence on IT situation-specific individual differences. Further, the model suggests that computer anxiety mediates the influence of situation-specific traits (i.e., personal innovativeness) on computer self-efficacy. Results provide support for many of the hypothesized relationships. From a theoretical perspective, the findings help to further our understanding of the nomological network among individual differences that lead to computer self-efficacy. From a practical perspective, the findings may help IT managers design training programs that more effectively increase the computer self-efficacy of users with different dispositional characteristics.","Jason Bennett Thatcher, Pamela L. Perrewe",2002,26,4,"Self-efficacy, anxiety, personality, negative affectivity, personal innovativeness",381-396,MIS Quarterly
113,An Empirical Examination of the Value of Creativity Support Systems on Idea Generation,"Because organizations seek more innovative ways to compete, the ability of their employees to generate new and valuable ideas becomes a fundamental survival skill. To the extent that computer software might enhance the creative performance of individual users, organizations might ultimately apply such tools to enhance the creative performance of their employees. A controlled laboratory experiment was performed to determine whether two popular creativity support applications significantly enhanced the creative performance of individual users. The results suggest that responses generated with software support are significantly more novel and valuable than responses generated by pen and paper. The results also question the previous creativity research practice of not directly controlling for idea fluency prior to experimental manipulation. It is hoped the findings from this investigation can be used to improve individual creative performance, further research concerning factors relevant to creativity, and guide future ICSS development efforts.",Brenda Massetti,1996,20,1,"Decision support systems (DSS), software quality, brainstorming, software packages, interface characteristics, user satisfaction",83-97,MIS Quarterly
114,An Empirical Investigation of Information Technology Sourcing Practices:  Lessons From Experience,"Following Kodak’s landmark information technology (IT) outsourcing decisions in 1989, the IT outsourcing market grew to 76 billion dollars in 1995. As the outsourcing market continues to grow and as new contracting options emerge, the accumulated experiences of firms offer significant opportunities for learning. This paper builds on a previous collection of data on 61 IT sourcing decisions made in 40 U.S. and U.K. organizations during the period 1991 to 1995. This paper reanalyzed transcribed interviews from 145 participants. Using ""expected cost savings achieved"" as an indicator of success, five best practices were identified in the case companies. First, selective outsourcing decisions had higher success rates than total outsourcing or total insourcing decisions. Second, senior executives and IT managers who made decisions together had higher success rates than either stakeholder group acting alone. Third, organizations that invited both internal and external bids had higher success rates than organizations that merely compared external bids with current IT costs. Fourth, short-term contracts achieved higher success rates than long-term contracts. Fifth, detailed fee-for-service contracts had higher success rates than other types of fee-for-service contracts. The critical elements of three contracting models are described: fee-for-service contracts, strategic alliances/ partnerships, and buying-in of vendor resources. When the practices generated from the case studies are compared with current practices, we begin to understand which practices are proving robust and why new practices emerge. For example, in the participating companies, the rhetoric of a ""partnership"" was misused to describe contracts that are actually fee-for-service contracts. Today, practitioners who understand the inherent conflicts in fixed fee-for-service contracts are demanding what they perceive to be more favorable contracting options, such as flexibly priced contracts, performance-based contracts, and strategic alliances based on shared risks and rewards. This analysis reconciles some of the apparent discrepancies in past findings about the best ways to source IT.","Mary C. Lacity, Leslie P. Willcocks",1998,22,3,"Empirical research, management of computing and IS, measuring IS success, contract, strategic alliances, outsourcing of IS",363-408,MIS Quarterly
115,An Empirical Investigation of Net-Enabled Business Value,"Many traditional organizations have undertaken major initiatives to leverage the Internet to transform how they coordinate value activities with customers, suppliers, and other business partners with the objective of improving firm performance. This paper addresses processes through which business value is created through such Internet-enabled value chain activities.  Relying on the resource-based view of the firm, we propose a model positing that a firm’s abilities to coordinate and exploit firm resources (processes, information technology, and readiness of customers and suppliers) create online informational capabilities (a higher order resource) which then leads to improved operational and financial performance. The outcome of a firm’s online informational capabilities is reflected in superior operational performance through customer and supplier-side digitization efforts, which reflect the extent to which transactions and external interactions occur electronically.  We also hypothesize that increased customer and supplier-side digitization leads to better financial performance.  The model is tested with data from over 1,000 firms in the manufacturing, retail, and wholesale sectors.  The analysis suggests that while most firms are lagging in their supplier-side initiatives relative to the customer-side, supplier-side digitization has a strong positive impact on customer-side digitization, which, in turn, leads to better financial performance.  Further, both customer and supplier readiness to engage in digital interactions are shown to be as important as a firm’s internal digitization initiatives, implying that a firm’s transformation-related decisions should include its customers’ and suppliers’ resources and incentives.","Anitesh Barua, Prabhudev Konana, Andrew B. Whinston, Fang Yin",2004,28,4,"Business value of IT, net-enabled business transformation, digitization, resource-based view, online informational capability, business process alignment",585-620,MIS Quarterly
116,An Empirical Investigation of the Factors Affecting Data Warehousing Success,"The IT implementation literature suggests that various implementation factors play critical roles in the success of an information system; however, there is little empirical research about the implementation of data warehousing projects. Data warehousing has unique characteristics that may impact the importance of factors that apply to it. In this study, a cross-sectional survey investigated a model of data warehousing success. Data warehousing managers and data suppliers from 111 organizations completed paired mail questionnaires on implementation factors and the success of the warehouse. The results from a Partial Least Squares analysis of the data identified significant relationships between the system quality and data quality factors and perceived net benefits. It was found that management support and resources help to address organizational issues that arise during warehouse implementations; resources, user participation, and highly-skilled project team members increase the likelihood that warehousing projects will finish on-time, on-budget, with the right functionality; and diverse, unstandardized source systems and poor development technology will increase the technical issues that project teams must overcome. The implementation’s success with organizational and project issues, in turn, influence the system quality of the data warehouse; however, data quality is best explained by factors not included in the research model.","Barbara H. Wixom, Hugh J. Watson",2001,25,1,"Data warehousing, success, IS implementation, Partial Least Squares",17-41,MIS Quarterly
117,An Empirical Investigation of the Relationship Between DSS Usage and System Performance:  A Case Study of a Navigation Support System,"System performance measurement often is conducted using subjective method, such as self-reporting of utilization, or surrogate measures, such as user satisfaction.  High system utilization or high user satisfaction provides no guarantee of high performance.  This study reports initial research relating system utilization, measured as a continuous and independent variable, with an objective measure of system performance.  The usage or participation rate of the New Orleans Vessel Traffic Service was correlated with its performance criterion of vessel safety, operationalized as the number of marine accidents.  The evaluation model reported in this research employed utilization as an independent variable in the regression equation.  This utilization measure was inversely correlated with vessel accidents—increases in DSS utilization were associated with reductions in marine casualties, assuming fixed levels of the other explanatory variables.  This research has provided evidence that the system has been very effective in reducing vessel accidents—the objective performance criterion—on the lower Mississippi River.  IS managers should consider this method of evaluation as a means of increasing information management credibility.","Louis A. Le Blanc, Kenneth A. Kozar",1990,14,3,"Decision support systems, information system usage, system performance measurement",263-277,MIS Quarterly
118,An Enhanced Fear Appeal Rhetorical Framework:  Leveraging Threats to the Human Asset Through Sanctioning Rhetoric,"Fear appeals, which are used widely in information security campaigns, have become common tools in motivating individual compliance with information security policies and procedures.  However, empirical assessments of the effectiveness of fear appeals have yielded mixed results, leading IS security scholars and practitioners to question the validity of the conventional fear appeal framework and the manner in which fear appeal behavioral modeling theories, such as protection motivation theory (PMT), have been applied to the study of information security phenomena.  We contend that the conventional fear appeal rhetorical framework is inadequate when used in the context of information security threat warnings and that its primary behavioral modeling theory, PMT, has been misspecified in the extant information security research.  Based on these arguments, we propose an enhanced fear appeal rhetorical framework that leverages sanctioning rhetoric as a secondary vector of threats to the human asset, thereby adding the dimension of personal-relevance threat, which is critically absent from previous fear appeal frameworks and PMT-grounded security studies.  Following a hypothetical scenario research approach involving the employees of a Finnish city government, we validate the efficacy of the enhanced fear appeal framework and determine that informal sanction rhetoric effectively enhances conventional fear appeals, thus providing a significant positive influence on compliance intentions.12/31/14","Allen C. Johnston, Merrill Warkentin, Mikko Siponen",2015,39,1,"Fear appeals, protection motivation theory, deterrence theory, information security, threats, responses, sanctions, rhetoric",113-134,MIS Quarterly
119,An Environmentally Dependent Framework for Data Dictionary Systems,"Data dictionary systems traditionally have been analyzed and compared against idealized standards that are independent of both the special requirements of the organization and the environment in which they will be used.  This has resulted in the selection of data dictionary systems that appear to be the best product in terms of the features offered, but which may not be the most effective alternative for meeting the needs of the organization or supporting its data administration effort.This article presents a new framework for analyzing data dictionary systems that encompasses environmental dependencies and organizational requirements.  Also described is a structured methodology for selecting a data dictionary system based on this framework.  This methodology is then applied to a bank holding company example.",Beverly K. Kahn,1985,9,3,"Data dictionary system, data administration, database management system, MIS",199-220,MIS Quarterly
120,An Evaluation of Data Processing Steering Committees,"One approach to plan and control data processing functions is to use a steering committee. This committee, composed of user, top management, and data processing representatives, is intended to bring a broad perspective to focus on systems issues. The empirical study described in this article examines the actual practices of companies in utilizing steering committees. Committee benefits are statistically tested. The results indicate that some major structural and operating alternatives lead to maximizing steering committee benefits whereas others do not. The article closes with an evaluation of the alternatives and the consequent strategies for using steering committees effectively.",D.H. Drury,1984,8,4,"management techniques, centralization/decentralization",257-265,MIS Quarterly
121,An Examination of Factors for the Strategic Use of Information Systems in the Healthcare Industry,"The potential use of information systems technology (IST) as a competitive weapon has been of enormous interest to many academic scholars and practitioners.  However, the importance of identifying factors that organizations must deal with in the process of achieving IST competitive advantages has received inadequate research attention.  This article attempts to identify these important factors for the strategic use of IST by examining the multifaceted role of IST in he healthcare context.  Three propositions are developed from (1) re-examining a variety of successful IST applications both within and outside healthcare organizations, (2) re-applying the integration concept from the literature, and (3) examining field experiences in the healthcare industry.  These propositions should serve as a basis for future empirical investigations into IST strategic applications.","K. Kyu Kim, Jeffrey E. Michelman",1990,14,2,"Strategic information systems, hospital information systems, integrated systems, political boundaries",201-215,MIS Quarterly
122,An Examination of the Impact of Expert Systems on the Firm:  The Case of XCON,"This article presents a new and different perspective on a familiar story.  XCON, Digital Equipment Corporation’s (DIGITAL) expert system for configuring PDP and VAX computers, is a well-known commercial expert system.  However,  much of what has been written about XCON has been from either a technical or development perspective.  IN a different vein, this research examines how the use of XCON changed the task (configuration) it was designed to support, how it altered the roles and responsibilities of the technical editors (the individuals who performed configuration), and how the system helped eliminate an entire step in the company’s manufacturing process, thereby saving Digital an estimated $15 million.Drawing upon the concepts of organizational information processing, as operationalized by Jay Galbraith, this study shows that use of XCON increased the information processing capacity of the organization.  Moreover, the system altered the local execution of the configuration task and provided for a company-wide shift in the process of configuring.  XCON allowed a more centralized, controlled, and detailed application of configuration knowledge.  This augmented knowledge application and had the benefit of supporting Digital’s product strategy.  The main drawback was an increased need to commit resources to ongoing maintenance of the evolving XCON system.",4,1990,14,2,"Expert systems, knowledge-based systems, artificial intelligence, organizational impacts, technology impacts organizational information processing, XCON, manufacturing systems",127-140,MIS Quarterly
123,An Examination of Work-Related Correlates of Job Satisfaction in Programmer/Analysts,"In the past, research examining the work-related correlates of job satisfaction in programmer/analysts has focused on the relationship between characteristics of the job itself and job satisfaction. It is hypothesized that certain aspects of relationships with co-workers, project leaders, and users will also be significant correlates of job satisfaction. Specifically, the relationship between job satisfaction, role conflict, role ambiguity, and quality of leadership provided by supervisors and peers is examined. A questionnaire measuring job characteristics, role conflict and ambiguity, leadership characteristics, and job satisfaction was administered to 118 programmer/analysts at four companies. The results indicate that both role and leadership variables correlated at least as highly with job satisfaction as job characteristics and that the addition of role and leadership variables to job characteristics significantly increases the explained variance in job satisfaction.",David K. Goldstein,1984,8,2,"MIS management, personnel management, programmers, systems analysts, job satisfaction, job characteristics, role conflict, role ambiguity, leadership style",103-115,MIS Quarterly
124,An Experimental Investigation of Some MIS Design Variables,"An experiment was conducted to relate characteristics of an information system and a decision maker to the resulting decision making performance in a simulated inventory/production environment.  One of the six independent variables which were analyzed, four (form of presentation, available of decision aids, availability of exception reporting, amount of information provided) were related to information system characteristics, the other two (decision making style, knowledge of functional area) described decision maker characteristics. The dependent variables, or the decision making quality variables, analyzed were cost performance, time performance, and the number of reports requested for decision making. The experimental setting, findings, and the number of reports requested for decision making. The experimental setting, findings, and the implication of the findings for information system design are discussed.","Izak Benbasat, Roger G. Schroeder",1977,1,1,"Management information systems, systems designs, experimental gaming",37-49,MIS Quarterly
125,An Experimental Validation of the Gorry and Scott Morton Framework,"The role of frameworks in information systems has recently received a great deal of critical attention.  One prominent indictment, which has been directed at even commonly accepted frameworks, is that they lack empirical support, and in fact are not constructed in operational terminology.  This article reports the results of an experimental lab study using MBA students as subjects to investigate the tenants of the Gorry and Scott Morton framework (Gorry and Scott Morton, 1971).  While firm support is found for the assumption that the level of information attributes varies across system type in the direction postulated, there is evidence that the ability to differentiate the component attributes is affected by such factors as field dependency and mode of presentation.","Peeter J. Kirs, G. Lawrence Sanders, Robert P. Cerveny, Daniel Robey",1989,13,2,"Information systems framework, information attributes, system classification, information requirements, system evaluation",183-197,MIS Quarterly
126,An Exploration of Organizational Level Information Systems Discontinuance Intentions,"Limited attention has been directed toward examining post-adoption stages of the information system life cycle.  In particular, the final stages of this life cycle have been largely ignored despite the fact that most systems eventually reach the end of their useful life.  This oversight is somewhat surprising given that end-of-life decisions can have significant implications for user effectiveness, the value extracted from IS investments, and organizational performance.  Given this apparent gap, a multi-method empirical study was undertaken to improve our understanding of organizational level information system discontinuance.  Research commenced with the development of a broad theoretical framework consistent with the technology–organization– environment (TOE) paradigm.  The resulting framework was then used to guide a series of semi-structured interviews with organizational decision makers in an effort to inductively identify salient influences on the formation of IS discontinuance intentions.  A set of research hypotheses were formulated based on the understanding obtained during these interviews and subsequently tested via a random survey of senior IS decision makers at U.S. and Canadian organizations.  Data obtained from the survey responses was analyzed using partial least squares (PLS).  Results of this analysis suggest that system capability shortcomings, limited availability of system support, and low levels of technical integration were key determinants of increased intentions to replace an existing system.  Notably, investments in existing systems did not appear to significantly undermine organizational replacement intentions despite support for this possibility from both theory and our semi-structured interviews","Brent Furneaux, Michael Wade",2011,35,3,":  Information systems discontinuance, obsolescence, abandonment, replacement, life cycle management, technology–organization–environment (TOE) framework",573-598,MIS Quarterly
127,An Exploratory Study of Roles in Computer-Supported Groups,"The emerging technology of group support systems has the potential to enhance the effectivenss of team work in organizations. One critical factor that has received little attention in technology-supported environments is that of the roles that participants fill in meetings. This paper develops a theoretical model of roles in computer-supported meetings and examines the impact of a group support system on roles. An exploratory field study of 10 work teams was conducted to investigate the perceptions of participants about their own roles and the roles that the group support system technology might fill. The study found a gap between the role expectations of meeting initiators and meeting participants, as well as between participants' role expectations and actual roles filled. The group support system technology was perceived to fill an unexpectedly large variety of roles. The study also showed that the group support system assumed some of the roles that participants expected to fill, resulting in fewer roles filled by participants.","Ilze Zigurs, Kenneth A. Kozar",1994,18,3,"electronic meeting systems, group interaction process, group support systems, roles",277-297,MIS Quarterly
128,An Exploratory Study of the Formation and Impact of Electronic Service Failures,"E-commerce service failures have been the bane of e-commerce, compelling customers to either abandon transactions entirely or switch to traditional brick-and-mortar establishments.  Yet, there is a paucity of studies that investigates how such failures manifest on e-commerce websites and their impact on consumers.  This paper, therefore, synthesizes extant literature on e-service and system success to arrive at a novel classification system that delineates e-commerce service failures into information, functional, and system categories, each with its own set of constituent dimensions.  Extending expectation disconfirmation theory (EDT), we further distinguish among disconfirmed outcome, process, and cost expectancies as major consequences of e-commerce service failures.  A theoretical model of e-commerce service failure classifications and their consequences was constructed together with testable propositions that relate the three failure categories to consumers’ disconfirmed expectancies.  Finally, we explore the validity of our theoretical model based on descriptive accounts of actual occurrences of e-commerce service failures and their corresponding consequences.  Consistent with our theoretical model, information and functional failures were found to be associated with disconfirmed outcome and process expectancies respectively.  System failures, on the other hand, do not affect consumers’ disconfirmed expectancies, thereby contradicting our predictions.  Post hoc analysis on constituent dimensions of information, functional, and system failures yielded additional insights on the preceding observations.10/14/15","Chee-Wee Tan, Izak Benbasat, Ronald T. Cenfetelli",2016,40,1,"E-commerce service failure, expectation disconfirmation theory, information failure, functional failure, system failure, disconfirmed outcome expectancy, disconfirmed process expectancy, disconfirmed cost expectancy, critical incident technique (CIT), qua",1-29,MIS Quarterly
129,An Historical Method for MIS Research:  Steps and Assumptions,"Historical research offers perspectives on phenomena that are unavailable by any other methodological means. They reflect the cultural circumstances and ideological assumptions that underlie phenomena and the role played by key decision makers together with long-term economic, social, and political forces in creating them. Each of these benefits is accompanied by limitations such as, in most cases, a lack of mathematical tractability. The careful application of historical methods can overcome some of these limitations. A seven-step methodology is proposed: begin with focusing questions, specify the domain, gather evidence, critique the evidence, determine patterns, tell the story, and write the transcript.","Richard O. Mason, James L. McKenney, Duncan G. Copeland",1997,21,3,"History, strategy, management information systems",307-320,MIS Quarterly
130,An Information Systems Keyword Classification Scheme,"Information systems researchers, while helping others build better information systems, have done little in supporting their own information needs.  The large amount of knowledge accumulated in IS today has created a situation where the researcher needs some sort of organizing mechanism to map the IS territory and relate its different components.  A keyword classification scheme performs such a task through its content descriptors, systematically listed to show their relationships.  This paper proposes a keyword classification scheme for IS.  The scheme contains over 1,100 keywords and consists of nine top-level categories (reference disciplines, external environment, technological environment, organizational environment, IS management, IS development and operations, IS usage, information systems, and IS education and research), each of which is divided into subcategories.","Henri Barki, Suzanne Rivard, Jean Talbot",1988,12,2,"Information search and retrieval, IS research frameworks, diffusion of IS research, IS literature",299-322,MIS Quarterly
131,"An Investigation of Information Systems Use Patterns:  Technological Events as Triggers, the Effect of Time, and Consequences for Performance","Information systems use represents one of the core concepts defining the discipline.  In this article, we develop a rich conceptualization of IS use patterns as individuals’ emotions, cognition, and behaviors while employing an information technology to accomplish a work-related task.  By combining two novel perspectives—the affect–object paradigm and automaticity—with coping theory, we theorize how different patterns appear and disappear as a result of different IT events—expected and discrepant—as well as over time, and how these patterns influence short-term performance.  In order to test our hypotheses, we conducted two studies, one qualitative and the other quantitative, that combined different methods (e.g., open-ended questions, physiological data, videos, protocol analysis) to study the influence of expected and discrepant events.  The synergistic properties of the two studies demonstrate the existence of two IS use patterns, automatic and adjusting.  Most interactions are automatic, and adjusting patterns, triggered by discrepant IT events, fade over time and transition into automatic ones.  Further, automatic patterns result in enhanced short-term performance, while adjusting ones do not.  Our conceptualization of IS use patterns is useful because it addresses important questions (such as why negative IT perceptions persist) and clarifies that it is how (rather than how much) people use IT that is pertinent for performance.5/23/13","Ana Ortiz de Guinea, Jane Webster",2013,37,4,"Emotion, affect, behavior, cognition, performance, pattern, IS use, usage, heart rate, EKG, physiology, physiological arousal, automaticity, continuance, technological effects",1165-1188,MIS Quarterly
132,An Investigation of Media Selection Among Directors and Managers:  From Self to Other Orientation,"The study investigates the media selection behavior of directors (executives) and managers through the use of multiple methods. The findings indicate the directors were more ""self"" oriented in their media choices, more often choosing media based on access/ease of use criteria, while the managers were more ""other"" oriented, more often making choices based on media richness/social presence criteria. These differences have implications in the interpretation of communication from directors and managers to the rest of the organization and suggest a model for understanding the use of ""rich"" and ""lean"" communication media. The literature review of the study makes a major contribution by fitting together the multiple theories applied to the area and showing how conflicting results from all the established media selection theories make sense in different circumstances.","Patricia J. Carlson, Gordon B. Davis",1998,22,3,"Media selection, organizational roles, organizational communication",335-362,MIS Quarterly
133,An Investigation of the Effectiveness of Color and Graphical Information Presentation Under Varying Time Constraints,"A laboratory experiment was conducted to assess the influence of color and information presentation differences on user perceptions and decision making under varying time constraints.  Three different information presentations were evaluated:  tabular, graphical, and combined tabular-graphical.  Tabular reports led to better decision making and graphical reports led to faster decision making when time constraints were low.  The combined report, which integrated the advantages associated with both tabular and graphical presentation, was the superior report format in terms of performance ad was rated very highly by decision makers.  Color led to improvements in decision making; this was especially pronounced when high time constraints were present.","Izak Benbasat, Albert Dexter",1986,10,1,"Graphic presentation, information system design, user-machine systems",59-83,MIS Quarterly
134,An Odyssey into Virtual Worlds:  Exploring the Impacts of Technological and Spatial Environments,"Although research on three-dimensional virtual environments abounds, little is known about the social and business aspects of virtual worlds.  Given the emergence of large-scale social virtual worlds, such as Second Life, and the dramatic growth in sales of virtual goods, it is important to understand the dynamics that govern the purchase of virtual goods in virtual worlds.  Employing the stimulus–organism–response (S-O-R) framework, we investigate how technological (interactivity and sociability) and spatial (density and stability) environments in virtual worlds influence the participants’ virtual experiences (telepresence, social presence, and flow), and how experiences subsequently affect their response (intention to purchase virtual goods).  The results of our survey of 354 Second Life residents indicate that interactivity, which enhances the interaction with objects, has a significant positive impact on telepresence and flow.  Also, sociability, which fosters interactions with participants, is significantly associated with social presence, although no such significant impact was observed on flow.  Furthermore, both density and stability are found to significantly influence participants’ virtual experiences; stability helps users to develop strong social bonds, thereby increasing both social presence and flow.  However, contrary to our prediction of curvilinear patterns, density is linearly associated with flow and social presence.  Interestingly, the results exhibit two opposing effects of density:  while it reduces the extent of flow, density increases the amount of social presence.  Since social presence is found to increase flow, the net impact of density on flow depends heavily on the relative strength of the associations involving these three constructs.  Finally, we find that flow mediates the impacts of technological and spatial environments on intention to purchase virtual products.  We conclude the paper with a discussion of the theoretical and practical contributions of our findings.","Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, Wonseok Oh",2011,35,3,"Virtual worlds, technological environment, spatial environment, virtual experience, intention to purchase virtual products, S-O-R framework, Second Life, interactivity, sociability, density, stability, symbolic consumption",789-810,MIS Quarterly
