,AF,TI,DE,AB,SO,VL,PY,IS,BP,EP
237, Thomas A. Weber,"Intermediation in a Sharing Economy: Insurance, Moral Hazard, and Rent Extraction", collaborative consumption;  digital economy;  incentive contracting;  intermediation;  moral hazard;  optimal insurance;  sharing economy;  trust,"A key impediment to sharing is a lender’s concern about damage to a lent item due to unobservable actions by a renter, usually resulting in moral hazard. This paper shows how an intermediary can eliminate the moral hazard problem by providing optimal insurance to the lender and first-best incentives to the renter to exert care, as long as market participants are risk neutral. The solution is illustrated for the collaborative housing market but applies in principle to any sharing market with vertically differentiated goods. A population of renters, heterogeneous both in their preferences for housing quality and with respect to the amount of care they exert in a rental situation, face a choice between collaborative housing and staying at a local hotel. The private hosts choose their prices strategically, and the intermediary sets commission rates on both sides of the market as well as insurance terms for the rental agreement. The latter are set to eliminate moral hazard. The intermediary is able to extract the gains the hosts would earn if transacting directly. Finally, even if hotels set their prices at the outset so as to maximize collusive profits, collaborative housing persists at substantial market shares, regardless of the difference between the efficiencies of hosts and hotels to reduce renters’ cost of effort. The aggregate of hosts, intermediary, and hotels benefits from (a variety in) these effort costs, which indicates that the intermediated sharing of goods is an economically viable, robust phenomenon.",Journal of Management Information Systems,31,2014,3,35,71
238, Anitesh Barua;  Deepa Mani,Augmenting Conflict Resolution with Informational Response: A Holistic View of Governance Choice in Business Process Outsourcing, business process outsourcing;  cooperation;  coordination;  governance;  hierarchy;  information requirements;  uncertainty,"We develop a holistic model of governance choice in business process outsourcing (BPO) that represents a highly information-intensive form of outsourcing. We integrate perspectives from neoinstitutional economics and the information-processing view (IPV) of the firm. We argue that the governance structure in BPO is chosen not only to address opportunism concerns arising from relational uncertainty to and encourage cooperation, as suggested by institutional economics, but also as an informational response to task and relational uncertainty to encourage coordination between exchange partners. Using the lens of IPV, we posit that uncertainty in the outsourced task increases the information requirements (IR) of the BPO relationship, which, in turn, leads to more hierarchical governance structures. We also suggest that in addition to directly influencing governance choice, relational uncertainty, a key construct in transaction cost economics (TCE), increases IR, and hence has an indirect impact on governance choice. Furthermore, we hypothesize that technological capabilities enable more hierarchical governance in response to increasing IR needs. Data on 130 BPO initiatives provide empirical support for our hypotheses regarding the drivers of IR, its impact on governance choice, and the moderating role of technological capabilities. Our study contributes to theory by integrating the premises of TCE and IPV in the context of BPO, and to practice by underscoring the need to consider information requirements in designing appropriate coordination and collaboration processes.",Journal of Management Information Systems,31,2014,3,72,105
239, Nathan W. Twyman;  Paul Benjamin Lowry;  Judee K. Burgoon;  Jay F. Nunamaker,Autonomous Scientifically Controlled Screening Systems for Detecting Information Purposely Concealed by Individuals, automated screening kiosk;  autonomous scientifically controlled screening system;  concealed information test;  credibility assessment;  deception detection;  defensive response;  design science;  eye-tracking measures;  orienting response;  physical security,"Screening individuals for concealed information has traditionally been the purview of professional interrogators investigating crimes. However, the ability to detect when a person is hiding important information would have high value in many other applications if results could be reliably obtained using an automated and rapid interviewing system. Unfortunately, this ideal has thus far been stymied by practical limitations and inadequate scientific control in current interviewing systems. This study proposes a new class of systems, termed autonomous scientifically controlled screening systems (ASCSS), designed to detect individuals’ purposely hidden information about target topics of interest. These hidden topics of interest could cover a wide range, including knowledge of concealed weapons, privacy violations, fraudulent organizational behavior, organizational security policy violations, preemployment behavioral intentions, organizational insider threat, leakage of classified information, or even consumer product use information. ASCSS represent a systematic synthesis of structured interviewing, orienting theory, defensive response theory, noninvasive psychophysiological measurement, and behavioral measurement. To evaluate and enhance the design principles, we built a prototype automated screening kiosk system and configured it for a physical security screening scenario in which participants constructed and attempted to smuggle a fake improvised explosive device. The positive results provide support for the proposition that ASCSS may afford more widespread application of credibility assessment screening systems.",Journal of Management Information Systems,31,2014,3,106,137
240, Christian Pieter Hoffmann;  Christoph Lutz;  Miriam Meckel,Digital Natives or Digital Immigrants? The Impact of User Characteristics on Online Trust, e-business;  online trust;  trust cues;  web user characteristics;  website signaling,"Previous research suggests that user characteristics such as web experience and demographics may affect online trust. Drawing on social cognitive theory, we explore the moderating effect of user characteristics on online trust. Based on a survey of German Internet users, we differentiate three groups by age, web experience, and education. We term these groups digital natives, digital immigrants, and naturalized digitals. A multiple-group analysis reveals significant differences in trust formation, particularly in the cues considered in the evaluation of online services. Whereas a large user base inspires confidence in digital natives, naturalized digitals are more geared toward familiar brands and recommendations. Digital immigrants most critically weigh the risks of a transaction against its benefits. We argue that specific user characteristics are associated with distinct cognitive schemata, implying distinct interests and evaluations in online transactions. Online services should differentiate their signaling efforts according to the targeted customer group.",Journal of Management Information Systems,31,2014,3,138,171
241, Chee Wei Phang;  Atreyi Kankanhalli;  Lihua Huang,Drivers of Quantity and Quality of Participation in Online Policy Deliberation Forums, cocreation;  online policy deliberation forum;  participation theory;  public policy deliberation;  quality of participation;  quantity of participation,"Online policy deliberation forums (OPDFs) have been increasingly initiated by governments to allow citizens to provide their input and discuss policy issues. Yet, failure to garner participation, in terms of both quantity and quality, prevents the realization of their benefits. In this regard, prior research has suggested different antecedents for the quantity and quality of participation in online forums, but without systematically considering their differences. To address this research gap, in this study we develop a theoretical model to explain the antecedents of quantity and quality of OPDF participation and test the model using a survey and content analysis of forum logs. The results indicate that quantity of participation is enhanced by the information-technology-enabled resource factor of communality but negatively influenced by collective incentives. In contrast, the antecedents of the quality of participation include both motivational and resource factors. Furthermore, communality accentuates the perceived collective incentives and persuasion benefit of participation. This study contributes to the research by proposing and testing a theoretical model that explains the different antecedents of the quantity and quality of participation in OPDFs. More broadly, the findings inform research and practice on how outcomes of web-enabled cocreation, such as those generated through OPDF participation, can be evaluated and enhanced in these online communities.",Journal of Management Information Systems,31,2014,3,172,212
242, Aihui Chen;  Yaobin Lu;  Patrick YK Chau;  Sumeet Gupta,"Classifying, Measuring, and Predicting Users’ Overall Active Behavior on Social Networking Sites", Delphi study;  measurement model;  social media;  social networking site;  user commitment;  users’ active behavior,"Although understanding the role of users’ overall active behavior on a social networking site (SNS) is of significant importance for both theory and practice, the complexity and difficulty involved in measuring such behavior has inhibited research attention. To understand users’ active behaviors on an SNS, it is important that we identify and classify various types of online behaviors before measuring them. In this paper we holistically examine users’ active behaviors on an SNS. Toward this end, we conduct three studies. First, we classify active behaviors on an SNS into four categories using the Delphi method. Then, we develop a measurement model and validate it using the data collected from an online survey of 477 SNS users. The measures of the developed instrument exhibit satisfactory reliability and validity and are used as indicators of the latent constructs. This instrument is then used in a predictive model based on commitment theory and tested using data from 1,242 responses. The results of data analysis suggest that affective commitment and continuance commitment are good predictors of overall active behavior on an SNS. This study complements the existing research on social media, cocreation, and social commerce. Most important, this study provides a theoretically sound measurement instrument that addresses the complex characteristic of overall active behavior on an SNS and which should be useful for future research. The findings of this study have important implications for practice as they highlight managing and stimulating users’ active behaviors on an SNS.",Journal of Management Information Systems,31,2014,3,213,253
243, I. Robert Chiang;  Jhih-Hua Jhang-Li,Delivery Consolidation and Service Competition Among Internet Service Providers, content delivery network;  Internet service provider;  media streaming;  peering and transit;  service pricing,"The infrastructure of the Internet, by and large, is maintained by Internet service providers (ISPs) that cater to regional customers and by Internet backbone providers (IBPs) that serve large organizations and ISPs. Some IBPs have recently branched into content delivery network (CDN) services; separately, other ISPs have started offering on-demand video streaming to compete with pure-play content providers. These developments have intensified the competition in both content delivery and media-streaming markets. For the content delivery market, we study the competition equilibriums by analyzing factors such as market share, cost structure, service pricing, and subscriber preference. Our approach helps identify conditions under which a content provider should choose an IBP over the incumbent CDN for content distribution. We also show how an IBP’s CDN venture affects its interconnection relationship with ISPs. For the streaming service market, we examine conditions under which a content provider would partner with an ISP to lower operating and marketing costs while providing a more streamlined subscriber experience. Analytically, our game-theoretical models can optimize key contracting and pricing strategies for multiple classes of service providers; empirically, insights derived from the proposed models have anticipated events that coincide with several recent developments in content delivery and streaming service markets.",Journal of Management Information Systems,31,2014,3,254,286
244, Manuel Sojer;  Oliver Alexy;  Sven Kleinknecht;  Joachim Henkel,Understanding the Drivers of Unethical Programming Behavior: The Inappropriate Reuse of Internet-Accessible Code, code reuse;  ethical behavior;  information systems ethics;  Internet-accessible code;  open source software;  partial least squares;  programming ethics;  theory of planned behavior,"Programming is riddled with ethical issues. Although extant literature explains why individuals in IT would act unethically in many situations, we know surprisingly little about what causes them to do so during the creative act of programming. To address this issue, we look at the reuse of Internet-accessible code: software source code legally available for gratis download from the Internet. Specifically, we scrutinize the reasons why individuals would unethically reuse such code by not checking or purposefully violating its accompanying license obligations, thus risking harm for their employer. By integrating teleological and deontological ethical judgments into a theory of planned behavior model—using elements of expected utility, deterrence, and ethical work climate theory—we construct an original theoretical framework to capture individuals’ decision-making process leading to the unethical reuse of Internet-accessible code. We test this framework with a unique survey of 869 professional software developers. Our findings advance the theoretical and practical understanding of ethical behavior in information systems. We show that programmers use consequentialist ethical judgments when carrying out creative tasks and that ethical work climates influence programmers indirectly through their peers’ judgment of what is appropriate behavior. For practice, where code reuse promises substantial efficiency and quality gains, our results highlight that firms can prevent unethical code reuse by informing developers of its negative consequences, building a work climate that fosters compliance with laws and professional codes, and making sure that excessive time pressure is avoided.",Journal of Management Information Systems,31,2014,3,287,325
245, Charles Zhechao Liu;  Yoris A. Au;  Hoon Seok Choi,Effects of Freemium Strategy in the Mobile App Market: An Empirical Study of Google Play, Android;  freemium;  Google play;  mobile apps;  online product rank;  online reviews,"This paper examines the effect of the freemium strategy on Google Play, an online marketplace for Android mobile applications. By analyzing a large panel data set consisting of 711 ranked mobile apps, we found that the freemium strategy is positively associated with increased sales of the paid mobile apps. Positive trial experience as represented by high review rating of the free version of a mobile app leads to higher sales of its paid version, whereas high visibility of the free version of a mobile app as represented by its product rank does not have a significant impact on the sales of its paid version. This finding suggests that although offering a free trial version is a viable way to improve the visibility of a mobile app, offering a quality free app is more important in boosting sales of the paid app. Moreover, we found that the impact of review rating is reduced when the free version is offered, or when the mobile app is a hedonic app, because consumers have the ability to experience the app themselves before purchase. These findings extend understanding of the freemium business model to include a market characterized by simultaneous intramarket competition for both the freemium and paid products and demonstrate how such dynamics may influence sales of the paid products.",Journal of Management Information Systems,31,2014,3,326,354
249, Qing Hu;  Robert West;  Laura Smarandescu,The Role of Self-Control in Information Security Violations: Insights from a Cognitive Neuroscience Perspective, information security;  neuroscience;  self-control;  policy compliance;  neural correlates;  electroencephalography;  event-related potentials;  NeuroIS,"Self-control has been identified as a major factor influencing individual behavior in the social science, neuroscience, criminology, and information security literatures. In this study, we first developed and validated a novel paradigm suitable for use with event-related potentials (ERPs) in scenario-based laboratory experiments of decision making in the context of information security. We then used this paradigm to examine the association between individual differences in self-control and ERPs elicited while individuals deliberated over violations of information security policies. Our results show that the left and right hemispheres of the brain were involved in decision making, and that the participants with low self-control had lower levels of neural recruitment in both hemispheres relative to those with high self-control. This was especially the case for regions in or near the dorsal lateral prefrontal cortex (DLPFC) and inferior frontal cortex (IFC). These results extend the findings in neuroscience literature related to the role of self-control in decision making in general, and validate a new paradigm for use with the electroencephalography/event-related potentials (EEG/ERP) technique to examine theoretical questions in information security and criminology research.",Journal of Management Information Systems,31,2015,4,6,48
250, Sutirtha Chatterjee;  Suprateek Sarker;  Joseph S. Valacich,The Behavioral Roots of Information Systems Security: Exploring Key Factors Related to Unethical IT Use, unethical IT use;  ethics;  information ethics;  information systems security;  nonlinear analysis,"Unethical information technology (IT) use, related to activities such as hacking, software piracy, phishing, and spoofing, has become a major security concern for individuals, organizations, and society in terms of the threat to information systems (IS) security. While there is a growing body of work on this phenomenon, we notice several gaps, limitations, and inconsistencies in the literature. In order to further understand this complex phenomenon and reconcile past findings, we conduct an exploratory study to uncover the nomological network of key constructs salient to this phenomenon, and the nature of their interrelationships. Using a scenario-based study of young adult participants, and both linear and nonlinear analyses, we uncover key nuances of this phenomenon of unethical IT use. We find that unethical IT use is a complex phenomenon, often characterized by nonlinear and idiosyncratic relationships between the constructs that capture it. Overall, ethical beliefs held by the individuals, along with economic, social, and technological considerations are found to be relevant to this phenomenon. In terms of practical implications, these results suggest that multiple interventions at various levels may be required to combat this growing threat to IS security.",Journal of Management Information Systems,31,2015,4,49,87
251, Tobias Brandt;  Dirk Neumann,Chasing Lemmings: Modeling IT-Induced Misperceptions About the Strategic Situation as a Reason for Flash Crashes," flash crash;  game theory;  impact of IT, hypergames","Flash crashes, perceived as sharp drops in market prices that rebound shortly after, have turned the public eye toward the vulnerability of information technology-based stock trading. In this paper, we explain flash crashes as the result of actions made by rational agents. We argue that the advancement of information technology (IT), which has long been associated with competitive advantages, may cause ambiguities with respect to the game form that give rise to a hypergame. We employ hypergame theory to demonstrate that a market crash constitutes an equilibrium state if players misperceive the true game. Once the ambiguity is resolved, prices readjust to the appropriate level, creating the characteristic flash-crash effect. By analyzing the interaction with herd behavior, we find that flash crashes may be an unavoidable systemic problem of modern financial markets.",Journal of Management Information Systems,31,2015,4,88,108
252, Ahmed Abbasi;  Fatemeh “Mariam” Zahedi;  Daniel Zeng;  Yan Chen;  Hsinchun Chen;  Jay F. Nunamaker,Enhancing Predictive Analytics for Anti-Phishing by Exploiting Website Genre Information, design science;  data mining;  phishing websites;  genre theory;  Internet fraud;  website genres;  credibility assessment;  phishing,"Phishing websites continue to successfully exploit user vulnerabilities in household and enterprise settings. Existing anti-phishing tools lack the accuracy and generalizability needed to protect Internet users and organizations from the myriad of attacks encountered daily. Consequently, users often disregard these tools’ warnings. In this study, using a design science approach, we propose a novel method for detecting phishing websites. By adopting a genre theoretic perspective, the proposed genre tree kernel method utilizes fraud cues that are associated with differences in purpose between legitimate and phishing websites, manifested through genre composition and design structure, resulting in enhanced anti-phishing capabilities. To evaluate the genre tree kernel method, a series of experiments were conducted on a testbed encompassing thousands of legitimate and phishing websites. The results revealed that the proposed method provided significantly better detection capabilities than state-of-the-art anti-phishing methods. An additional experiment demonstrated the effectiveness of the genre tree kernel technique in user settings; users utilizing the method were able to better identify and avoid phishing websites, and were consequently less likely to transact with them. Given the extensive monetary and social ramifications associated with phishing, the results have important implications for future anti-phishing strategies. More broadly, the results underscore the importance of considering intention/purpose as a critical dimension for automated credibility assessment: focusing not only on the “what” but rather on operationalizing the “why” into salient detection cues.",Journal of Management Information Systems,31,2015,4,109,157
253, Kelly J. Fadel;  Thomas O. Meservy;  Matthew L. Jensen,Exploring Knowledge Filtering Processes in Electronic Networks of Practice, electronic networks of practice;  filtering;  knowledge evaluation;  constancy;  directionality;  field experiment;  eye tracking,"Electronic networks of practice (ENPs) have become an important mechanism for knowledge exchange among loosely connected individuals who share common knowledge interests. While prior research has explored factors that influence knowledge contribution in such networks, less is understood about the process by which individuals evaluate and ultimately adopt knowledge from ENPs. This study examines the process of knowledge filtering in online ENP forums. Drawing from dual process and information-evaluation theories, we hypothesize that performance on a knowledge-filtering task will be influenced by the constancy and directionality of search patterns employed by knowledge seekers. Hypotheses are tested in an experiment that utilized an eye tracker to record gaze data from professional software developers using an experimental ENP forum. By combining information-evaluation and dual process theory perspectives, our results deepen the insights offered in extant information-processing literature by showing that higher filtering accuracy is associated with (a) constant evaluation of some types of information attributes (solution content) but not others (peripheral cues), and (b) increasing attribute-based processing over time.",Journal of Management Information Systems,31,2015,4,158,181
254, Gediminas Adomavicius;  Jesse Bockstedt;  Shawn P. Curley,Bundling Effects on Variety Seeking for Digital Information Goods, variety seeking;  digital goods;  information goods;  bundled goods;  simultaneous choice;  sequential choice;  bundle cohesion,"Prior research with consumable goods has consistently found that consumers have a preference for greater variety when selecting items simultaneously as a bundle, rather than as a sequential series of individual decisions. However, digital information goods have a number of important differences from consumable goods that may impact variety-seeking behavior. In three experiments, we address two general research questions. First, as a precursor to studying digital goods, we disentangle the role of bundle cohesion (i.e., item relatedness) from the role of timing (simultaneous vs. sequential choice) as factors in variety seeking with consumable goods. Next, based on differences between digital and consumable goods, we theorize differences in the behavioral effects of bundle cohesion and timing on variety preferences for digital goods. The results show a reduction of influences upon variety-seeking behavior with digital goods, providing important implications for the sellers of such goods in contrast to what has been suggested for consumable goods. Therefore, a key takeaway is that, for digital goods such as music, the use of consumer-driven bundling variations does not suggest an advantage in terms of their ability to affect consumers’ variety-seeking behavior.",Journal of Management Information Systems,31,2015,4,182,212
255, Cheng Yi;  Zhenhui (Jack) Jiang;  Izak Benbasat,Enticing and Engaging Consumers via Online Product Presentations: The Effects of Restricted Interaction Design, virtual product experience;  restricted interaction;  full interaction;  enticement;  engagement;  purchase intention;  online product presentation;  online video;  online selling,"This work investigates the effects of three different online product presentation formats, namely, a noninteractive video presentation and two virtual product experience (VPE) presentations (full interaction and restricted interaction), on engaging users in online product experience as well as enticing users to try products offline. The experimental results show that restricted interaction, which deprives users of part of the interactive product experience, is more enticing than both the noninteractive and fully interactive design for users with more product-class knowledge. In addition, restricted interaction is generally as good as full interaction in engaging users. Both engagement and enticement positively affect users’ purchase intentions. This study contributes to the information systems literature by extending the theory in curiosity formation to the interaction design context and advocating designs for enticement. It contributes to design practice by revealing that less interactive and less costly presentations can be more effective in attracting consumers toward the products.",Journal of Management Information Systems,31,2015,4,213,242
256, Abhijeet Ghoshal;  Subodha Kumar;  Vijay Mookerjee,Impact of Recommender System on Competition Between Personalizing and Non-Personalizing Firms, recommender systems;  duopoly;  pricing;  dynamic optimization;  online competition;  Nash equilibrium,"How do recommender systems affect prices and profits of firms under competition? To explore this question, we model the strategic behavior of customers who make repeated purchases at two competing firms: one that provides personalized recommendations and another that does not. When a customer intends to purchase a product, she obtains recommendations from the personalizing firm and uses this recommendation to eventually purchase from one of the firms. The personalizing firm profiles the customer (based on past purchases) to recommend products. Hence, if a customer purchases less frequently from the personalizing firm, the recommendations made to her become less relevant. While considering the impact on the quality of recommendations received, a customer must balance two opposing forces: (1) the lower price charged by the non-personalizing firm, and (2) an additional fit cost incurred when purchasing from the non-personalizing firm and the increased cost due to recommendations of reduced quality in the future. An outcome of the analysis is that the customers should distribute their purchases across both firms to maximize surplus over a planning horizon. Anticipating this response, the firms simultaneously choose prices. We study the sensitivity of the equilibrium prices and profits of the firms with respect to the effectiveness of the recommender system and the profile deterioration rate. We also analyze some interesting variants of the base model in order to study how its key results could be influenced. One of the key takeaways of this research is that the recommender system can influence the price and profit of not only the personalizing firm but also the non-personalizing firm.",Journal of Management Information Systems,31,2015,4,243,277
257, Robert O. Briggs;  Jay F. Nunamaker;  Ralph H. Sprague,Applied Science Research in Information Systems: The Last Research Mile,," Special Section  Applied Science Research in Information Systems: The Last Research Mile Robert O. Briggs, Jay F. Nunamaker Jr., and Ralph Sprague, Guest Editors Robert O. Briggs is director of academic affairs for the University of Nebraska at Omaha’s Center for Collaboration Science and an associate professor of management in its College of Business Administration. He earned his Ph.D. in management and information systems from the University of Arizona in 1994. He researches the cognitive and social foundations of collaboration and applies his findings to the design and deployment of new collaborative techniques, work practices, and technologies. He has published scholarly works on theoretical, empirical, and applied aspects of collaboration science. Jay F. Nunamaker Jr. is Regents and Soldwedel Professor of MIS, Computer Science, and Communication and director of the Center for the Management of Information at the University of Arizona, Tucson. He received his Ph.D. in operations research and systems engineering from Case Institute of Technology, an M.S. and B.S. in engineering from the University of Pittsburgh, and a B.S. from Carnegie Mellon University. He received his professional engineer’s license in 1965. In a 2005 journal article in Communications of the AIS, he was recognized as the fourth to the sixth most productive researcher for the period 1991-2003. Dr. Nunamaker received the LEO Award from the Association for Information Systems (AIS) at the International Conference on Information Systems in Barcelona, Spain, December 2002, and was elected as a fellow of the AIS in 2000. Ralph Sprague is a professor of information technology management in the Shidler College of Business at the University of Hawaii. He has over 40 years of experience in teaching, research, and consulting in the use of computers and information technologies in organizations. His fields of expertise are decision support systems, strategic systems planning, management of information systems, and electronic document management. He has published widely in these areas. In 2006, he was elected Fellow of the Association for Information Systems. He has served as chairman or co-chairman of the Hawaii International Conference on System Sciences for the past 33 years. On any given day, an experienced information systems (IS) researcher can map out a new 25-year research stream in under an hour. Little academic credit is therefore warranted for conceiving an idea and writing it up. Full marks are due, however, for shepherding a technical innovation through the last research mile from inspiration to implementation in the workplace. The last research mile means using academic knowledge to solve real problems for real people with a real stake in the outcome. This is the definition of applied science/engineering. The last research mile is where academia creates value for society. It leads through rich country that can yield exciting exploratory, theoretical, experimental, and technical contributions. The goal of IS research is to provide optimally relevant, timely, accurate, and complete information to decision makers at minimal cost. Cost, in this context, signifies more than just money. People ascribe value along a number of dimensions, among them economic, political, social, cognitive, emotional, and physical. IS solutions must therefore be not only technically feasible but also economically, politically, socially, cognitively, emotionally, and physically acceptable to stakeholders. These aspects of feasibility and value interact in complex ways. Moving a technological innovation from conception to adoption is therefore a task of such complexity that it is not possible to anticipate from the desk chair how a technology will  have to be realized so it can diffuse into common use. Because of this complexity, there may be many more ways to implement a technically sound solution than to implement an acceptable solution. To discover and address these issues, we must travel the last research mile. The last research mile begins when a research team finds real people with a real problem in a real organization. They explore the problem, learn about stakeholder goals, and seek to discover drivers and constraints in the problem environment. They propose possible solutions to stakeholders and listen carefully to their responses. Eventually, they build a proof of concept prototype that may not be scalable, and may not be full featured, but is sufficiently robust that stakeholders can try it out with sample tasks so both the researchers and the stakeholders can learn more about the challenges they face. A proof of concept prototype demonstrates that a solution may be technically possible. Proof of concept researchers begin to stumble upon nuggets of knowledge that give them a better sense of the issues at hand. However, proof of concept is the beginning, not the end, of the last research mile. Research that ends with proof of concept is impoverished compared to that which carries forward to the second step---proof of value. In the proof of value step, researchers design a prototype with sufficient robustness and functionality to solve at least one important real-world problem. They take the proof of value prototype into the lab and out to the field so stakeholders can try to use it for real work, with the support of the research team if necessary. The pace of academic discovery accelerates as political, social, cognitive, and emotional factors surrounding the problem and the solution interact in unexpected ways. Unexamined assumptions surface and unanticipated requirements emerge as the research team gains technical and domain expertise while trying to determine whether the solution achieves its design objectives and creates value for its users. New phenomena are discovered, described, and classified. Deeper understandings of the problem space may be synthesized into correlative grounded models. Theoretical insights may be derived to explain effects that only emerge when people try to do real work. If proof of value studies show the new technology to be superior to prior solutions, then the technology itself may become a contribution to applied science. There is still much more to be learned, however, in the third and final step of the last research mile---proof of use. In the proof of use step, a research team creates a full-featured, robust proof of use prototype than can be deployed to user environments to address not just one specific problem, but a class of problems. Researchers turn the technology over to stakeholders to see whether it is possible to create a self-sustaining and growing community of users around the solution. The lack of a thriving user community is prima facie evidence that the positive findings from proof of value studies are being overwhelmed by other, previously unsuspected issues. Further exploratory, experimental, and theoretical research may be required to discover and explain these issues. Nuggets of knowledge from earlier work may integrate into a unified understanding of the problem domain. Further applied research may draw on these new understandings to produce a system that delivers the potential value of the technology in a form that users can accept and use. This Special Section includes three papers pertaining to the last research mile. The paper ‘Embodied Conversational Agent-Based Kiosk for Automated Interviewing,’ by Jay F. Nunamaker Jr., Douglas C. Derrick, Aaron C. Elkins, Judee K. Burgoon, and Mark W. Patton, presents work that is entering the proof of value stage. The team has created an automated kiosk that uses an embodied intelligent agent---an animated human face backed by biometric sensors and intelligent agents---to interview people at national borders and to detect changes in arousal, behavior, and cognitive effort that may signal deception or malevolent intent. The paper reports three studies that evaluate separate aspects of the system and explains how findings were used as foundational research for the development of the automated kiosk that can be tested in the field. In their paper, ‘A Global Model of Technological Utilization Based on Governmental, Business-Investment, Social, and Economic Factors,’ James B. Pick and Rasool Azari  use inductive logic to derive a conceptual model of the factors of governmental support and openness, business and technology investment, and socioeconomic levels that are posited to influence technological utilization. This model is of particular interest to researchers working on proof of use challenges. They use the model to guide an exploratory test of the model on a large sample of country data from the World Bank and World Economic Forum. Based on their findings, the authors propose policy steps for the governments of developed and developing countries. Finally, Stefan Werner Knoll and Graham Horton address specific proof of use challenges in the arena of collaboration engineering in their paper, ‘Changing the Perspective: Using a Cognitive Model to Improve thinkLets for Ideation.’ The collaboration engineering research community has been working to codify collaboration expertise in a form that nonexperts can reuse without extensive training, and so derive benefits from collaboration technology that were previously only available to those supported by a professional facilitator. This paper focuses on making improvements to idea generation and sharing techniques. It uses a cognitive model to analyze 101 idea generation techniques with regard to the underlying mental principles that stimulate the ideation process. The authors identify three changes of perspective based on these principles and demonstrate how these principles can be used to improve the applicability of information technology to group processes. An earlier version of each of the papers in the Special Section earned a best paper award at the Hawaii International Conference on System Sciences. Each represents a challenging and interesting perspective. We commend them to your reading.",Journal of Management Information Systems,28,2011,1,13,16
258, Sabine Matook;  Jeff Cummings;  Hillol Bala,Are You Feeling Lonely? The Impact of Relationship Characteristics and Online Social Network Features on Loneliness, social media;  online social networks;  loneliness;  relationship management;  communal orientation;  social exchange theory;  self-disclosure;  networking ability,"In contemporary society, many people move away from their personal networks for extended periods to reach professional and/or educational goals. This separation can often lead to feelings of loneliness, which can be stressful and sometimes debilitating for the individual. We seek to understand how a person’s use of online social networks (OSNs)—technology-enabled tools that assist users with creating and maintaining their relationships—might affect their perceptions of loneliness. Prior research has offered mixed results about how OSNs affect loneliness—reporting both positive and negative effects. We argue in this study that a clearer perspective can be gained by taking a closer look at how individuals approach their relationship management in OSNs. Building on theoretical works on loneliness, we develop a model to explain the effects of relationship characteristics (i.e., relationship orientation, self-disclosure, and networking ability) and OSN features (i.e., active or passive) on perceived loneliness. Our findings show that OSN can be linked to both more and less perceived loneliness, that is, individuals’ relationship orientation significantly affects their feelings of loneliness, which are further moderated by their degree of self-disclosure within the OSN. Furthermore, how users engage in the OSN (either actively or passively) influences their perceptions of loneliness. Practical implications regarding perceived loneliness include recommendations for firms to encourage mobile workers to utilize OSNs when separated from others, for education providers to connect with their new students before they arrive, and for users to utilize OSNs as a social bridge to others they feel close with.",Journal of Management Information Systems,31,2015,4,278,310
259, Norman A. Johnson;  Randolph B. Cooper,Understanding the Influence of Instant Messaging on Ending Concessions During Negotiations, instant messaging;  audio;  selfishness;  agreement;  ending concession;  self-interest;  deindividuation;  media;  negotiation experiment;  lottery;  negative reciprocation,"In many online price negotiations, instant messaging (IM) and audio channels rival each other in use, but IM’s use is on the rise. In these contexts, people who are strangers to each other are inclined to act more competitively. They are driven by self-interest and strive for greater gains from agreement in the form of what is termed “ending concessions.” To date, however, researchers have focused on striving for agreement as the main goal of negotiators. This study uses a selfishness theory to explain how individuals using IM, as compared to those using audio, can encourage their negotiation partners to make ending concessions, and thereby increase individuals’ gains when agreement is reached. We use data from a negotiation laboratory experiment to test a model of ending concessions that is predicted by unrestricted offers and comments that negotiators make over IM and audio. We base our analyses on the contents of the resulting communications. The objects of negotiation are simulated lottery tickets. Our results provide three key insights. First, when using IM, partners appear to interpret offers that include concessions from individuals as attempts to manipulate partners into accepting non-equitable agreements; as a result partners decrease their ending concessions. These interpretations do not appear to occur when using audio, and as a result individuals’ concessions do not decrease partners’ ending concessions. Second, using IM, when individuals disagree with anger directed at partners’ bidding behaviors, partners respond by increasing their ending concessions. Ending concessions are further increased when using audio. Third, and in contrast, using IM, when individuals disagree with emotion that does not include anger, partners respond by decreasing their ending concessions. Ending concessions are further decreased when using audio. These insights provide guidance for practice, and are bases for future research on the use of IM and audio for negotiation.",Journal of Management Information Systems,31,2015,4,311,342
